Date,Close,High,Low,Open,Volume
2023-04-21,62984.14453,63175.87709,62696.5457,63080.01081,10538622
2023-04-24,62504.81641,62984.14782,62121.35127,62600.68269,12986581
2023-04-25,60970.95313,62696.54614,60779.22057,62600.67986,16193271
2023-04-26,61450.28516,61642.01772,60683.35492,60970.95376,12664541
2023-04-27,61929.61719,62313.08231,60683.35554,61450.28579,14779601
2023-04-28,62792.40625,63175.87133,62313.0749,62504.80744,19699481
2023-05-02,62984.14453,63559.3422,62408.94686,63271.74336,14396948
2023-05-03,62696.54688,62888.27943,62217.21548,62408.94804,8876749
2023-05-04,62408.95313,62984.15085,62025.48798,62888.28456,9791064
2023-05-08,63175.88281,63559.34796,62696.55138,63559.34796,9405365
2023-05-09,62600.67578,63080.00714,62408.94324,63080.00714,9366861
2023-05-10,61929.61719,62792.41371,61642.01835,62792.41371,13057727
2023-05-11,61546.14844,62408.94491,61546.14844,62025.47981,11648905
2023-05-12,61450.28516,61929.61655,60970.95376,61066.82004,8693913
2023-05-15,61833.75,61929.61628,61258.55233,61450.28488,8172021
2023-05-16,62696.54688,63175.87827,62600.6806,63080.01199,12334657
2023-05-17,62313.07422,63175.87063,62121.34168,63175.87063,10745504
2023-05-18,63463.47656,63463.47656,62984.14517,63271.744,14431704
2023-05-19,65572.53125,65572.53125,64709.73479,64997.33361,20349345
2023-05-22,65668.39063,66147.72194,65189.05931,65572.52436,14470308
2023-05-23,65572.53125,65860.13007,65284.93243,65668.39752,8561643
2023-05-24,65668.39063,65860.12315,65189.05931,65284.92557,8192896
2023-05-25,65956,67106.39535,65860.13372,67010.52907,14231160
2023-05-26,67393.99219,67489.85846,66627.06198,66914.66081,19549511
2023-05-30,69311.32031,69311.32031,68256.79123,68352.65751,27476897
2023-05-31,68448.52344,69503.05251,68065.05832,69407.18623,25666087
2023-06-01,67969.1875,68640.25141,67681.58868,67969.1875,14669296
2023-06-02,69215.46094,69215.46094,68640.2632,68736.12949,12161798
2023-06-05,68736.11719,69694.77991,68448.51837,69694.77991,12686829
2023-06-07,68065.04688,68640.24445,67873.31435,68352.64566,14796613
2023-06-08,67969.1875,67969.1875,67106.39104,67489.85614,19165568
2023-06-09,69023.71875,69311.31758,67873.32344,68160.92227,15050209
2023-06-12,68065.04688,69407.17456,67873.31435,69119.57577,12064287
